震级,发震时刻,纬度,经度,深度,参考位置,地址链接
3.9,2025-02-12 01:10:23,33.81,89.15,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20250212011023.html
3.2,2025-02-09 23:23:32,28.26,87.55,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250209232332.html
2.8,2025-02-09 23:11:30,28.13,105.16,8,四川宜宾市兴文县,https://news.ceic.ac.cn/CD20250209231131.html
3.1,2025-02-09 15:36:58,29.05,86.63,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CD20250209153659.html
4.2,2025-02-08 00:46:59,23.29,120.57,10,台湾嘉义县,https://news.ceic.ac.cn/CC20250208004659.html
3.3,2025-02-06 22:25:31,28.00,105.49,11,四川泸州市叙永县,https://news.ceic.ac.cn/CD20250206222531.html
3.2,2025-02-02 15:17:14,28.43,87.52,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250202151715.html
4.2,2025-01-30 15:16:17,23.28,120.52,10,台湾台南市,https://news.ceic.ac.cn/CC20250130151618.html
3.9,2025-01-30 12:28:00,33.79,89.14,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20250130122800.html
5.2,2025-01-30 10:11:55,23.25,120.57,10,台湾嘉义县,https://news.ceic.ac.cn/CC20250130101155.html
4.0,2025-01-28 13:05:40,35.23,89.77,10,西藏那曲市安多县,https://news.ceic.ac.cn/CC20250128130541.html
3.0,2025-01-28 02:33:35,29.53,104.02,8,四川乐山市井研县,https://news.ceic.ac.cn/CC20250128023335.html
4.1,2025-01-27 17:33:36,28.55,87.42,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250127173336.html
4.7,2025-01-27 08:18:50,22.75,121.10,10,台湾台东县,https://news.ceic.ac.cn/CC20250127081851.html
3.4,2025-01-25 22:17:36,29.40,103.33,18,四川乐山市峨眉山市,https://news.ceic.ac.cn/CD20250125221736.html
5.1,2025-01-26 07:38:54,23.17,120.48,10,台湾台南市,https://news.ceic.ac.cn/CC20250126073854.html
4.4,2025-01-26 00:10:51,22.80,120.68,15,台湾屏东县,https://news.ceic.ac.cn/CD20250126001052.html
5.1,2025-01-25 19:49:17,23.31,120.46,11,台湾台南市,https://news.ceic.ac.cn/CC20250125194918.html
4.1,2025-01-25 16:23:26,29.53,104.04,10,四川乐山市井研县,https://news.ceic.ac.cn/CC20250125162326.html
3.2,2025-01-25 13:30:50,29.47,101.88,8,四川甘孜州康定市,https://news.ceic.ac.cn/CD20250125133050.html
4.3,2025-01-25 06:01:57,23.20,120.48,21,台湾台南市,https://news.ceic.ac.cn/CD20250125060158.html
4.8,2025-01-24 19:18:42,23.18,120.47,15,台湾台南市,https://news.ceic.ac.cn/CD20250124191843.html
3.5,2025-01-24 13:59:17,28.78,87.48,14,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250124135917.html
4.0,2025-01-23 05:50:19,29.59,104.89,10,四川内江市市中区,https://news.ceic.ac.cn/CC20250123055020.html
3.2,2025-01-22 20:33:40,28.87,87.53,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250122203341.html
4.0,2025-01-22 19:55:43,23.78,121.53,11,台湾花莲县,https://news.ceic.ac.cn/CD20250122195543.html
3.3,2025-01-22 19:30:22,28.72,87.48,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250122193022.html
3.8,2025-01-22 06:37:18,35.71,89.64,10,西藏那曲市安多县,https://news.ceic.ac.cn/CC20250122063718.html
4.1,2025-01-22 03:42:06,23.32,120.64,12,台湾嘉义县,https://news.ceic.ac.cn/CD20250122034207.html
4.6,2025-01-22 02:48:21,21.18,120.99,24,台湾屏东县海域,https://news.ceic.ac.cn/CC20250122024822.html
3.7,2025-01-21 18:45:26,29.54,104.04,9,四川乐山市井研县,https://news.ceic.ac.cn/CD20250121184527.html
4.1,2025-01-21 08:14:16,28.28,87.54,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250121081416.html
4.6,2025-01-21 05:03:10,28.20,87.56,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250121050310.html
4.0,2025-01-21 04:05:59,23.27,120.52,17,台湾台南市,https://news.ceic.ac.cn/CD20250121040560.html
4.3,2025-01-21 01:42:32,23.20,120.52,14,台湾台南市,https://news.ceic.ac.cn/CC20250121014232.html
4.0,2025-01-21 00:29:23,23.19,120.50,15,台湾台南市,https://news.ceic.ac.cn/CC20250121002923.html
4.3,2025-01-21 00:26:24,23.25,120.45,15,台湾台南市,https://news.ceic.ac.cn/CC20250121002625.html
6.2,2025-01-21 00:17:27,23.24,120.51,14,台湾台南市,https://news.ceic.ac.cn/CC20250121001727.html
3.2,2025-01-20 19:23:07,29.57,104.87,10,四川内江市市中区,https://news.ceic.ac.cn/CD20250120192307.html
4.4,2025-01-20 21:59:54,29.57,104.88,10,四川内江市市中区,https://news.ceic.ac.cn/CC20250120215954.html
3.2,2025-01-20 21:34:27,28.29,87.55,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250120213427.html
4.9,2025-01-20 05:07:48,33.12,102.64,8,四川阿坝州红原县,https://news.ceic.ac.cn/CC20250120050748.html
3.3,2025-01-20 01:56:43,28.35,87.52,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250120015643.html
4.2,2025-01-19 00:26:27,28.36,87.57,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250119002628.html
4.6,2025-01-18 23:36:51,28.35,87.57,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250118233652.html
3.8,2025-01-16 21:12:30,33.65,81.80,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20250116211231.html
3.6,2025-01-16 20:25:43,33.50,89.44,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20250116202544.html
3.0,2025-01-16 13:18:42,28.91,87.52,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250116131843.html
4.4,2025-01-16 11:19:58,28.47,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250116111959.html
3.6,2025-01-16 10:57:20,28.88,87.52,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250116105720.html
3.4,2025-01-16 04:50:49,28.80,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250116045050.html
3.3,2025-01-15 22:58:33,29.82,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CD20250115225833.html
3.0,2025-01-15 01:32:56,28.03,105.47,9,四川泸州市叙永县,https://news.ceic.ac.cn/CD20250115013257.html
3.2,2025-01-14 04:14:56,28.31,87.63,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CD20250114041456.html
3.0,2025-01-14 08:59:15,28.48,87.49,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250114085916.html
4.2,2025-01-13 23:44:42,28.47,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250113234442.html
3.0,2025-01-13 23:27:44,28.39,87.38,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250113232744.html
3.8,2025-01-13 23:19:06,28.45,87.53,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250113231907.html
3.3,2025-01-13 22:55:08,28.41,87.52,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250113225509.html
3.1,2025-01-13 21:14:54,28.42,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250113211455.html
5.0,2025-01-13 20:58:20,28.45,87.52,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250113205821.html
4.9,2025-01-13 20:57:36,28.42,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250113205737.html
3.0,2025-01-13 20:17:04,28.71,87.45,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250113201704.html
3.7,2025-01-12 20:12:28,23.70,121.65,24,台湾花莲县海域,https://news.ceic.ac.cn/CC20250112201229.html
3.4,2025-01-12 17:54:00,28.67,87.47,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250112175401.html
3.1,2025-01-12 14:51:22,28.44,87.46,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250112145123.html
3.1,2025-01-12 08:00:04,28.75,87.38,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250112080005.html
4.3,2025-01-12 04:27:09,23.77,121.69,21,台湾花莲县海域,https://news.ceic.ac.cn/CD20250112042710.html
3.5,2025-01-12 02:51:04,34.33,83.35,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CD20250112025104.html
3.1,2025-01-12 01:27:26,28.48,87.49,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250112012726.html
3.1,2025-01-10 21:46:17,28.69,87.51,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250110214618.html
3.0,2025-01-10 07:19:04,28.89,87.49,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250110071904.html
3.6,2025-01-10 06:58:02,28.38,87.52,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250110065802.html
3.0,2025-01-09 17:18:44,28.86,87.46,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250109171845.html
3.5,2025-01-10 01:56:17,28.46,87.48,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250110015618.html
3.8,2025-01-09 15:28:43,28.45,87.47,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250109152843.html
4.0,2025-01-09 08:34:19,32.62,88.52,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CC20250109083420.html
3.1,2025-01-09 04:17:16,32.26,93.13,10,西藏那曲市巴青县,https://news.ceic.ac.cn/CD20250109041717.html
3.0,2025-01-08 15:08:52,28.87,87.52,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250108150852.html
4.0,2025-01-08 11:51:20,28.42,87.44,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108115120.html
3.7,2025-01-08 09:43:41,28.44,87.46,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108094341.html
3.1,2025-01-08 09:28:08,28.39,87.40,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108092808.html
3.0,2025-01-08 08:41:19,28.51,87.51,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108084119.html
3.1,2025-01-08 08:08:19,28.77,87.46,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108080820.html
3.8,2025-01-08 03:52:51,28.82,87.55,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250108035252.html
3.0,2025-01-08 01:36:00,28.88,87.47,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250108013601.html
3.0,2025-01-07 23:37:22,28.40,87.45,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107233723.html
3.2,2025-01-07 23:22:32,28.45,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107232233.html
3.3,2025-01-07 23:06:31,28.87,87.49,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107230631.html
3.1,2025-01-07 22:04:10,28.67,87.37,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107220410.html
3.6,2025-01-07 21:29:34,28.68,87.41,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107212934.html
3.1,2025-01-07 21:07:39,28.84,87.55,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250107210739.html
3.9,2025-01-07 15:54:08,28.46,87.49,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107155409.html
3.1,2025-01-07 15:36:57,29.62,102.03,10,四川甘孜州泸定县,https://news.ceic.ac.cn/CC20250107153657.html
3.2,2025-01-07 15:04:31,28.64,87.48,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107150431.html
3.9,2025-01-07 13:57:14,28.78,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107135715.html
3.6,2025-01-07 11:27:31,28.97,87.51,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CC20250107112732.html
3.5,2025-01-07 11:45:54,28.70,87.36,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107114554.html
3.5,2025-01-07 11:41:11,28.91,87.43,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250107114111.html
3.7,2025-01-07 11:19:37,29.01,87.52,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CC20250107111938.html
3.9,2025-01-07 10:34:49,28.40,87.44,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107103449.html
3.2,2025-01-07 10:32:42,28.64,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107103243.html
3.8,2025-01-07 10:27:40,28.51,87.47,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107102741.html
3.0,2025-01-07 10:22:44,28.78,87.47,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107102244.html
4.6,2025-01-07 10:14:25,33.62,87.17,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20250107101425.html
3.0,2025-01-07 10:04:08,28.86,87.52,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250107100408.html
3.4,2025-01-07 10:01:07,28.85,87.51,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250107100107.html
3.9,2025-01-07 09:59:48,28.93,87.49,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CD20250107095949.html
3.0,2025-01-07 09:49:21,28.48,99.40,8,四川甘孜州得荣县,https://news.ceic.ac.cn/CD20250107094921.html
4.1,2025-01-07 09:43:48,28.22,87.63,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CC20250107094349.html
4.2,2025-01-07 09:37:12,28.36,87.67,10,西藏日喀则市定结县,https://news.ceic.ac.cn/CC20250107093713.html
3.8,2025-01-07 09:31:57,28.77,87.50,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107093157.html
4.4,2025-01-07 09:24:26,28.35,87.37,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250107092426.html
6.8,2025-01-07 09:05:16,28.50,87.45,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250107090516.html
3.3,2025-01-07 08:11:46,28.53,87.42,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250107081146.html
4.6,2025-01-06 23:26:48,33.40,87.05,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20250106232648.html
3.2,2025-01-06 00:51:18,29.82,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20250106005119.html
3.0,2025-01-04 06:45:57,29.52,101.88,8,四川甘孜州康定市,https://news.ceic.ac.cn/CD20250104064557.html
6.8,2025-01-07 09:05:16,28.50,87.45,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250107090516.html
3.3,2025-01-02 11:41:48,29.56,104.04,15,四川乐山市井研县,https://news.ceic.ac.cn/CD20250102114148.html
4.4,2024-12-30 03:51:37,23.54,120.66,10,台湾嘉义县,https://news.ceic.ac.cn/CC20241230035137.html
3.0,2024-12-27 00:17:59,28.36,104.89,10,四川宜宾市长宁县,https://news.ceic.ac.cn/CD20241227001759.html
3.1,2024-12-26 17:20:54,29.05,105.38,8,四川泸州市龙马潭区,https://news.ceic.ac.cn/CD20241226172054.html
4.8,2024-12-26 16:08:50,23.97,121.90,31,台湾花莲县海域,https://news.ceic.ac.cn/CD20241226160851.html
3.1,2024-12-23 06:37:39,28.82,94.95,10,西藏林芝市墨脱县,https://news.ceic.ac.cn/CC20241223063740.html
3.4,2024-12-21 13:01:58,34.15,78.88,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20241221130158.html
3.0,2024-12-15 04:37:25,34.75,87.64,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20241215043725.html
3.0,2024-12-12 13:40:23,32.28,93.83,10,西藏那曲市巴青县,https://news.ceic.ac.cn/CD20241212134024.html
4.0,2024-12-10 21:56:47,24.75,122.51,95,台湾宜兰县海域,https://news.ceic.ac.cn/CD20241210215648.html
3.9,2024-12-09 02:12:23,33.65,81.74,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20241209021224.html
3.7,2024-12-08 02:00:21,29.84,92.26,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241208020021.html
3.0,2024-12-08 11:41:49,35.57,89.61,10,西藏那曲市安多县,https://news.ceic.ac.cn/CD20241208114149.html
4.6,2024-12-08 06:07:49,29.35,94.92,30,西藏林芝市墨脱县,https://news.ceic.ac.cn/CC20241208060749.html
4.3,2024-12-07 15:48:29,24.00,122.16,7,台湾花莲县海域,https://news.ceic.ac.cn/CD20241207154830.html
3.5,2024-12-07 10:36:22,34.17,89.33,10,西藏那曲市安多县,https://news.ceic.ac.cn/CD20241207103623.html
3.4,2024-12-04 08:42:08,29.83,92.25,8,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241204084209.html
3.4,2024-12-02 16:18:48,29.74,101.12,10,四川甘孜州雅江县,https://news.ceic.ac.cn/CD20241202161848.html
4.3,2024-11-27 23:32:22,23.95,121.75,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20241127233222.html
3.1,2024-11-25 13:00:29,29.82,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241125130029.html
3.6,2024-11-22 22:42:04,29.82,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241122224205.html
4.7,2024-11-22 20:40:18,23.21,120.23,15,台湾台南市,https://news.ceic.ac.cn/CD20241122204019.html
3.4,2024-11-21 09:16:42,32.96,98.43,18,四川甘孜州石渠县,https://news.ceic.ac.cn/CD20241121091642.html
4.1,2024-11-18 15:06:24,29.83,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241118150624.html
4.4,2024-11-18 15:01:56,29.83,92.26,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241118150157.html
3.8,2024-11-15 23:02:16,27.20,102.26,17,四川凉山州德昌县,https://news.ceic.ac.cn/CD20241115230217.html
3.6,2024-11-15 04:48:57,34.58,82.48,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CC20241115044858.html
4.5,2024-11-14 10:38:15,23.90,121.70,15,台湾花莲县海域,https://news.ceic.ac.cn/CC20241114103815.html
3.2,2024-11-14 00:54:50,29.84,92.26,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241114005450.html
2.8,2024-11-13 13:04:37,31.97,104.48,8,四川绵阳市北川县,https://news.ceic.ac.cn/CD20241113130437.html
3.4,2024-11-13 12:15:03,29.83,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241113121503.html
3.4,2024-11-12 22:41:36,29.82,92.26,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241112224136.html
3.7,2024-11-11 13:29:21,29.81,92.27,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241111132922.html
2.9,2024-11-09 02:05:28,29.26,105.16,9,四川自贡市富顺县,https://news.ceic.ac.cn/CD20241109020528.html
4.0,2024-11-08 13:00:52,29.81,92.26,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241108130053.html
4.5,2024-11-07 04:19:53,29.85,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241107041953.html
4.5,2024-11-07 01:19:39,23.59,121.61,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20241107011939.html
3.1,2024-11-06 11:22:29,28.35,104.89,10,四川宜宾市长宁县,https://news.ceic.ac.cn/CD20241106112230.html
3.0,2024-11-06 11:01:54,29.80,92.24,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CD20241106110155.html
3.1,2024-11-04 10:51:29,31.67,92.08,10,西藏那曲市色尼区,https://news.ceic.ac.cn/CC20241104105130.html
3.9,2024-11-02 06:03:44,29.81,92.24,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241102060345.html
4.2,2024-11-02 05:35:49,33.72,86.40,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20241102053550.html
3.1,2024-11-02 04:59:20,33.87,86.65,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20241102045921.html
3.2,2024-11-01 20:26:37,28.32,104.93,11,四川宜宾市长宁县,https://news.ceic.ac.cn/CD20241101202637.html
3.6,2024-10-31 09:45:01,29.82,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CD20241031094502.html
4.7,2024-11-01 00:18:18,23.52,121.64,25,台湾花莲县海域,https://news.ceic.ac.cn/CD20241101001818.html
4.1,2024-10-31 09:32:38,29.83,92.25,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241031093238.html
4.0,2024-10-28 21:08:31,27.69,94.26,10,西藏山南市错那市,https://news.ceic.ac.cn/CD20241028210831.html
3.0,2024-10-28 16:54:37,31.48,104.22,9,四川德阳市绵竹市,https://news.ceic.ac.cn/CD20241028165437.html
4.8,2024-10-27 18:21:43,23.97,121.78,31,台湾花莲县海域,https://news.ceic.ac.cn/CD20241027182144.html
4.0,2024-10-27 14:56:55,23.43,120.42,10,台湾嘉义县,https://news.ceic.ac.cn/CD20241027145656.html
4.2,2024-10-27 14:19:12,23.36,120.48,18,台湾台南市,https://news.ceic.ac.cn/CD20241027141913.html
3.6,2024-10-26 09:19:05,34.09,83.25,25,西藏阿里地区改则县,https://news.ceic.ac.cn/CD20241026091906.html
